SceneName,SuggestionDescription,SuggestionType,DisplayOrder,IsActive,CreatedAt,UpdatedAt
小鎮酒館,【快速交談】- 與酒館老闆交流，獲得布雷克伍德館傳聞,skill,1,True,2023-01-01,2023-01-01
小鎮酒館,【聆聽】- 偷聽其他客人的對話,skill,2,True,2023-01-01,2023-01-01
小鎮酒館,【心理學】- 判斷NPC是否隱瞒什麼,skill,3,True,2023-01-01,2023-01-01
小鎮酒館,【魅惑】- 讓NPC更願意分享資訊,skill,4,True,2023-01-01,2023-01-01
小鎮圖書館,【圖書館使用】- 查找布雷克伍德家族歷史,skill,5,True,2023-01-01,2023-01-01
小鎮圖書館,【歷史】- 理解當地歷史背景,skill,6,True,2023-01-01,2023-01-01
小鎮圖書館,【神秘學】- 識別奇怪符號或儀式,skill,7,True,2023-01-01,2023-01-01
小鎮圖書館,【說服】- 讓圖書館員提供額外協助,skill,8,True,2023-01-01,2023-01-01
莊園正門,【力量】- 強行推開生鏽的大門,attribute,9,True,2023-01-01,2023-01-01
莊園正門,【機械維修】- 修理門鎖機械,skill,10,True,2023-01-01,2023-01-01
莊園正門,【偵查】- 尋找其他進入方式,skill,11,True,2023-01-01,2023-01-01
莊園正門,【攀爬】- 從窗戶進入,skill,12,True,2023-01-01,2023-01-01
莊園客廳,【聆聽】- 聽見牆壁中的低語聲,skill,13,True,2023-01-01,2023-01-01
莊園客廳,【偵查】- 檢查破裂牆壁和家具,skill,14,True,2023-01-01,2023-01-01
莊園客廳,【神秘學】- 識別牆上的符號,skill,15,True,2023-01-01,2023-01-01
莊園客廳,SAN檢定 (0/1) - 見到詭異的陰影移動,sanity,16,True,2023-01-01,2023-01-01
莊園書房,【圖書館使用】- 整理散落的書籍和手稿,skill,17,True,2023-01-01,2023-01-01
莊園書房,【神秘學】- 理解禁忌知識內容,skill,18,True,2023-01-01,2023-01-01
莊園書房,【偵查】- 尋找隱藏的日記或文件,skill,19,True,2023-01-01,2023-01-01
莊園書房,【語言】- 翻譯古老文字,skill,20,True,2023-01-01,2023-01-01
瑪莎臥室,【聆聽】- 聽見瑪莎的夢境低語,skill,21,True,2023-01-01,2023-01-01
瑪莎臥室,【偵查】- 檢查沉睡的屍體,skill,22,True,2023-01-01,2023-01-01
瑪莎臥室,【醫學】- 判斷身體狀況,skill,23,True,2023-01-01,2023-01-01
瑪莎臥室,SAN檢定 (0/1) - 見到不死不活的狀態,sanity,24,True,2023-01-01,2023-01-01
地下室儀式廳,【神秘學】- 理解祭壇上的符號,skill,25,True,2023-01-01,2023-01-01
地下室儀式廳,【克蘇魯神話】- 識別沉眠之主相關儀式,skill,26,True,2023-01-01,2023-01-01
地下室儀式廳,【偵查】- 尋找阻止儀式的方法,skill,27,True,2023-01-01,2023-01-01
地下室儀式廳,SAN檢定 (1/1d6) - 目睹儀式啟動,sanity,28,True,2023-01-01,2023-01-01