Id,Name,Category,Description,Stats,OwnerNotes,Weight,IsConsumable,IsCursed,IsActive,DisplayOrder,CreatedAt,UpdatedAt
1,手電筒,工具,"一個便攜式手電筒，可在黑暗中提供光源。","","需要電池才能使用。",0.5,False,False,True,1,2024-01-01 00:00:00,2024-01-01 00:00:00
2,筆記本,工具,"用於記錄調查筆記和重要信息的筆記本。","","建議隨身攜帶以便隨時記錄。",0.3,False,False,True,2,2024-01-01 00:00:00,2024-01-01 00:00:00
3,老式手槍,武器,"一把老式的手槍，適合近距離防衛。","","彈藥有限，請謹慎使用。",1.5,False,False,True,3,2024-01-01 00:00:00,2024-01-01 00:00:00
4,醫療包,醫療用品,"包含基本急救用品的醫療包。","","可用於治療輕微傷口和止血。",1.0,True,False,True,4,2024-01-01 00:00:00,2024-01-01 00:00:00
5,古董懷錶,個人物品,"一個古老的懷錶，據說帶有神秘力量。","","可能會引來不必要的注意。",0.4,False,True,True,5,2024-01-01 00:00:00,2024-01-01 00:00:00
6,地圖,工具,"一張詳細的地圖，標示出當地重要地點。","","有助於導航和規劃路線。",0.2,False,False,True,6,2024-01-01 00:00:00,2024-01-01 00:00:00
7,望遠鏡,工具,"一個便攜式望遠鏡，用於觀察遠處目標。","","適合在開闊地區使用。",0.7,False,False,True,7,2024-01-01 00:00:00,2024-01-01 00:00:00
8,火把,工具,"一根燃燒的火把，可提供光源和驅散野獸。","","燃燒時間有限，請注意安全。",0.6,True,False,True,8,2024-01-01 00:00:00,2024-01-01 00:00:00
9,繩索,工具,"一捆堅固的繩索，可用於攀爬或綁縛。","","多功能用途，建議攜帶。",1.2,False,False,True,9,2024-01-01 00:00:00,2024-01-01 00:00:00
10,護符,個人物品,"一個神秘的護符，據說能保護持有者免受邪靈侵害。","","效果未知，請謹慎使用。",0.1,False,True,True,10,2024-01-01 00:00:00,2024-01-01 00:00:00