Id,SkillId,AttributeId,DiceExpression,Difficulty,Description,KeeperNotes,IsActive,DisplayOrder,CreatedAt,UpdatedAt
1,36,,1d100,Normal,發現新鮮腳印與異常踏痕,可使用細緻查閱以找到方向線索。,True,1,2025-12-27,2025-12-27
2,29,,1d100,Hard,辨識牆上儀式痕跡,若成功可得召喚儀式相關線索。,True,2,2025-12-27,2025-12-27
3,23,,1d100,Easy,聆聽地下室低語和聲音來源,成功可定位祭壇或敵方位置。,True,3,2025-12-27,2025-12-27
4,31,,1d100,Normal,說服當地居民提供情報,提供善意表現有助於降低難度。,True,4,2025-12-27,2025-12-27
5,9,,1d100,Hard,偽裝成清潔工潛入建築,預備充分時可簡化難度。,True,5,2025-12-27,2025-12-27
6,10,,1d100,Hard,及時閃避墜落的磚塊,失敗可能受到輕傷。,True,6,2025-12-27,2025-12-27
7,13,,1d100,Normal,快速與陌生證人交涉,善用同理與耐心能獲更多資訊。,True,7,2025-12-27,2025-12-27
8,25,,1d100,Normal,修理壞掉的發電機,缺乏工具將提升難度。,True,8,2025-12-27,2025-12-27
9,16,,1d100,Easy,處理簡單擦傷與止血,醫療箱現成時可自動成功。,True,9,2025-12-27,2025-12-27
10,3,,1d100,Normal,判斷古董真偽及市場價值,環境昏暗則難度提升。,True,10,2025-12-27,2025-12-27
11,22,,1d100,Normal,快速查找館藏索引,合適事前準備可降低難度。,True,11,2025-12-27,2025-12-27
12,8,,1d100,Hard,閱讀禁忌典籍獲得知識,失敗可能導致精神衰弱。,True,12,2025-12-27,2025-12-27
13,34,,1d100,Normal,策馬橫越泥濘地形,天雨時需檢定兩次。,True,13,2025-12-27,2025-12-27
14,33,,1d100,Normal,揣摩陌生人的心思,保持冷靜將提升成功率。,True,14,2025-12-27,2025-12-27
15,32,,1d100,Hard,安撫驚恐證人,說服力強時減低難度。,True,15,2025-12-27,2025-12-27
16,41,,1d100,Normal,追蹤林間消失的腳印,地形複雜則難度提升。,True,16,2025-12-27,2025-12-27
17,14,,1d100,Normal,與敵人近身搏鬥,可選定部位增添效果。,True,17,2025-12-27,2025-12-27
18,27,,1d100,Normal,判別未知動植物種類,具備專業書籍可重擲一次。,True,18,2025-12-27,2025-12-27
19,6,,1d100,Normal,攀爬濕滑石壁,使用繩索降低難度。,True,19,2025-12-27,2025-12-27
20,5,,1d100,Easy,魅惑接待員獲得便捷服務,善用談吐可自動成功。,True,20,2025-12-27,2025-12-27
21,40,,1d100,Normal,投擲石塊擊中目標,遠距離時難度提升。,True,21,2025-12-27,2025-12-27
22,38,,1d100,Normal,在野外成功搭建臨時庇護所,惡劣天氣增加失敗風險。,True,22,2025-12-27,2025-12-27
23,26,,1d100,Hard,搶救重傷同伴性命,缺乏設備時失敗後果嚴重。,True,23,2025-12-27,2025-12-27
24,21,,1d100,Normal,審閱契約條文找出漏洞,複雜案件加大難度。,True,24,2025-12-27,2025-12-27
25,20,,1d100,Hard,翻譯古代失落語言,準備充足線索可減低難度。,True,25,2025-12-27,2025-12-27
26,7,,1d100,Normal,憑信譽爭取警方支援,過往關係將影響結果。,True,26,2025-12-27,2025-12-27
27,12,,1d100,Normal,修理簡單家用電器,缺零件時需檢定兩次。,True,27,2025-12-27,2025-12-27
28,11,,1d100,Normal,夜間駕駛出租車安全抵達,視線不佳提升難度。,True,28,2025-12-27,2025-12-27
29,24,,1d100,Hard,鑰匙卡遺失時的快速開鎖,工具齊全可降低難度。,True,29,2025-12-27,2025-12-27
30,19,,1d100,Normal,跳過斷橋危崖安全落地,助跑良好可優先嘗試。,True,30,2025-12-27,2025-12-27